!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	8/18/2025				
!Table_name	drug_information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
tecovirimat	Launched	orthopoxvirus egress inhibitor		infectious disease	smallpox
tedizolid	Launched	bacterial 50S ribosomal subunit inhibitor		infectious disease	skin infections
tedizolid-phosphate	Launched	protein synthesis inhibitor		infectious disease	skin infections
tefinostat	Phase 1/Phase 2	hdac inhibitor	HDAC1	oncology	hepatocellular carcinoma (hcc)
tegafur	Launched				
tegaserod	Withdrawn	serotonin receptor partial agonist	HTR2A | HTR2B | HTR2C | HTR4		
teglicar	Phase 2	carnitine palmitoyltransferase inhibitor	CPT1A	endocrinology	diabetes mellitus
tegobuvir	Phase 3	HCV inhibitor | protease inhibitor			
teicoplanin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections
teicoplanin-A2-1	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections
teicoplanin-A2-3	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections
teijin-compound-1	Preclinical	CC chemokine receptor antagonist	CCR2		
telaprevir	Launched	HCV inhibitor	CTSA | PGR	infectious disease	hepatitis C
telatinib	Phase 2	KIT inhibitor | PDGFR tyrosine kinase receptor inhibitor | VEGFR inhibitor	FLT4 | KDR | KIT | PDGFRB		
telavancin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections
telbivudine	Launched	DNA polymerase inhibitor		infectious disease	hepatitis B
telcagepant	Phase 3	calcitonin antagonist	CALCA | CALCRL | RAMP1		
telenzepine	Phase 3	acetylcholine receptor antagonist	CHRM1		
telithromycin	Launched	"bacterial 30S ribosomal subunit inhibitor | bacterial 30s ribosomal subunit inhibitor, bacterial 50s ribosomal subunit inhibitor | bacterial 50S ribosomal subunit inhibitor"	CYP1A2 | CYP2D6 | CYP3A4 | CYP3A5 | CYP3A7 | SLCO1B3	infectious disease	pneumonia
telmesteine	Launched	mucolytic agent		pulmonary	cough suppressant
telmisartan	Launched	angiotensin receptor antagonist	AGTR1 | CYP2C19 | CYP2J2 | PPARA | PPARG	cardiology	hypertension
telotristat	Launched	tryptophan hydroxylase inhibitor	TPH1	gastroenterology	diarrhea
telotristat-ethyl	Launched	tryptophan hydroxylase inhibitor	TPH1	gastroenterology	diarrhea
telratolimod	Preclinical	toll-like receptor agonist	TLR7 | TLR8		
temanogrel	Preclinical	serotonin receptor antagonist	HTR2A		
temefos	Launched	cholinesterase inhibitor			
temocapril	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology | cardiology | cardiology | nephrology	congestive heart failure | coronary artery disease (CAD) | diabetic nephropathy | hypertension
temoporfin	Launched	radical formation stimulant		oncology	head and neck squamous cell carcinoma (HNSCC)
temozolomide	Launched	DNA alkylating agent	MGMT | TOP2A	oncology | oncology	astrocytoma | glioblastoma
tempol	Phase 2	free radical scavenger			
temsirolimus	Launched	mTOR inhibitor	MTOR | PTEN	oncology	renal cell carcinoma (RCC)
TEN-010	Preclinical	bromodomain inhibitor	BRD2 | BRD3 | BRD4 | BRDT		
tenalisib	Phase 2	PI3K inhibitor	PIK3CD | PIK3CG		
tenapanor	Launched	sodium/hydrogen exchanger inhibitor	SLC9A3		
tenatoprazole	Phase 2	ATPase inhibitor	ATP4A | IDO1		
teneligliptin	Launched	dipeptidyl peptidase inhibitor	DPP4	endocrinology	diabetes mellitus
tenidap	Phase 3	cyclooxygenase inhibitor	ALOX5 | KCNJ4 | PTGS1		
tenilsetam	Phase 3	AGE inhibitor			
teniposide	Launched	topoisomerase inhibitor	CYP3A5 | TOP2A | TOP2B	hematologic malignancy	acute lymphoblastic leukemia (ALL)
tenofovir	Launched	HIV integrase inhibitor | nucleoside reverse transcriptase inhibitor		infectious disease | infectious disease	hepatitis B | human immunodeficiency virus (HIV-1)
tenofovir alafenamide	Launched	hiv gag inhibitor	GAG-POL	Infectious disease	human immunodeficiency virus (hiv-1)
tenofovir-alafenamide	Launched	nucleoside reverse transcriptase inhibitor		infectious disease	hepatitis B
tenofovir-disoproxil	Launched	nucleoside reverse transcriptase inhibitor	CYP1A2 | CYP3A4	infectious disease | infectious disease	hepatitis B | human immunodeficiency virus (HIV-1)
tenovin-1	Preclinical	SIRT inhibitor | TP53 activator	SIRT1 | SIRT2		
tenovin-6	Preclinical	SIRT inhibitor	SIRT1 | SIRT2 | SIRT3		
tenoxicam	Launched	cyclooxygenase inhibitor	PTGS1 | PTGS2	orthopedics | rheumatology | rheumatology | rheumatology | rheumatology | rheumatology	ankylosing spondylitis | bursitis | osteoarthritis | periarthritis | rheumatoid arthritis | tendinitis
tenylidone	Preclinical				
tepilamide fumarate	Launched	"nuclear factor erythroid derived, like (nrf2) activator"	GSTP1 | HCAR2 | NFE2L2	neurology/psychiatry	multiple sclerosis
tepoxalin	Launched	cyclooxygenase inhibitor | lipoxygenase inhibitor	ALOX5	orthopedics | rheumatology	hip dysplasia | rheumatoid arthritis
TEPP-46	Preclinical	pyruvate kinase isozyme activator	PKM		
teprenone	Launched	mucus protecting agent		dermatology	cosmetic
terameprocol	Phase 1/Phase 2	lipoxygenase inhibitor	BIRC5 | CDK1		
terazosin	Launched	adrenergic receptor antagonist	ADRA1A | ADRA1B | ADRA1D	cardiology | urology	benign prostatic hyperplasia (BPH) | hypertension
terazosin hydrochloride	Launched	adrenergic receptor antagonist	ADRA1A | ADRA1B | ADRA1D	"urology, cardiology"	"benign prostatic hyperplasia (bph), hypertension"
terbinafine	Launched	fungal squalene epoxidase inhibitor	CYP2C19 | CYP2C8 | SQLE	infectious disease | infectious disease | infectious disease	tinea corporis | tinea cruris | tinea pedis
terbutaline	Launched	adrenergic receptor agonist	ADRB2	pulmonary | pulmonary | pulmonary	bronchitis | bronchospasm | emphysema
terciprazine	Phase 1				
terconazole	Launched	sterol demethylase inhibitor		infectious disease	vulvovaginal candidiasis
terfenadine	Withdrawn	histamine receptor antagonist	HRH1 | KCNH1 | KCNH2		
terguride	Launched	dopamine receptor agonist | serotonin receptor antagonist	ADRA1A | ADRA2A | ADRA2B | ADRA2C | DRD2 | DRD3 | DRD4 | HTR1A | HTR1B | HTR1D | HTR2A | HTR2B | HTR2C | PRL	neurology/psychiatry	Parkinson's Disease
teriflunomide	Launched	dihydroorotate dehydrogenase inhibitor	CYP1A2 | CYP2C8 | DHODH | MMP2 | MMP9	neurology/psychiatry	multiple sclerosis
terlipressin	Launched	vasopressin receptor agonist	AVPR1A | AVPR1B | AVPR2	cardiology	hypotension
terodiline	Withdrawn	cholinergic receptor antagonist	CHRM1 | CHRM2 | CHRM3 | CHRM4		
teroxirone	Phase 1	DNA inhibitor			
terpene	Preclinical				
terpinen-4-ol	Launched	anti-inflammatory agent	BCL2 | BIRC5 | XIAP	oncology	melanoma
terreic-acid-(-)	Preclinical	Bruton's tyrosine kinase (BTK) inhibitor	BTK		
terutroban	Phase 3	prostanoid receptor antagonist	TBXA2R		
tesaglitazar	Phase 3	insulin sensitizer | PPAR receptor agonist	INS | PPARA | PPARG		
testosterone propionate					
tetomilast	Phase 2	phosphodiesterase inhibitor	PDE4A | PDE4B | PDE4C | PDE4D		
tetrabenazine	Launched	vesicular monoamine transporter inhibitor	SLC18A1 | SLC18A2	infectious disease | neurology/psychiatry	cholera | Huntington's disease
tetracaine	Launched	membrane integrity inhibitor	SCN10A | SCN11A | SCN1A | SCN2A | SCN3A | SCN4A | SCN5A | SCN7A | SCN8A | SCN9A	neurology/psychiatry	anesthetic
tetracycline	Launched	bacterial 30S ribosomal subunit inhibitor		dermatology | infectious disease | infectious disease | infectious disease | infectious disease | infectious disease | infectious disease	acne vulgaris (AV) | plague | pneumonia | psittacosis | respiratory tract infections | skin infections | urinary tract infections
tetracycline hcl	Launched	bacterial 30s ribosomal subunit inhibitor		"infectious disease, dermatology"	"respiratory tract infections, pneumonia, skin infections, urinary tract infections, acne vulgaris (av), plague, psittacosis"
tetradecylthioacetic-acid	Phase 2	lipid peroxidase inhibitor			
tetraethylenepentamine	Phase 2/Phase 3	superoxide dismutase inhibitor	SOD1 | SOD2		
tetrahydrofolic-acid	Launched		FOLR2		
tetrahydropapaverine	Preclinical				
tetrahydrouridine	Phase 2	cytidine deaminase inhibitor	CDA		
tetrahydrozoline	Launched	adrenergic receptor agonist		ophthalmology	eye irritation
tetramethylthiuram-monosulfide	Preclinical				
tetramisole	Launched	immunostimulant	ALPPL2 | CHRNA3	infectious disease	gastrointestinal parasites
tetrandrine	Preclinical	calcium channel blocker	SLC6A3		
tetrazol-5-yl-glycine-(RS)	Preclinical	glutamate receptor agonist	GRIN1 | GRIN2A | GRIN2B | GRIN2C | GRIN2D		
tetrindole	Phase 3	monoamine oxidase inhibitor	MAOA		
tetroquinone	Preclinical				
tezacaftor	Launched	CFTR channel agonist	CFTR	pulmonary	cystic fibrosis
TFC-007	Preclinical	prostaglandin inhibitor	HPGDS		
TG-003	Preclinical	CLK inhibitor	CLK1 | CLK4 | DYRK1A | DYRK1B		
TG-02	Phase 1/Phase 2	CDK inhibitor | FLT3 inhibitor | JAK inhibitor	CCNT1 | CDK1 | CDK2 | CDK7 | CDK9 | FLT3 | JAK2 | MAPK7		
TG100-115	Phase 1/Phase 2	PI3K inhibitor	PIK3CA | PIK3CB | PIK3CD | PIK3CG		
TG-100572	Preclinical	SRC inhibitor | VEGFR inhibitor	EPHB4 | KDR | SRC		
TG-100713	Preclinical	PI3K inhibitor			
TG-100801	Phase 2	SRC inhibitor | VEGFR inhibitor	CSK | EPHB4 | FGFR1 | FLT1 | FLT4 | KDR | SRC		
TG-101209	Preclinical	JAK inhibitor	JAK2 | JAK3		
TGR-1202	Phase 3	PI3K inhibitor	PIK3CD		
TGX-221	Preclinical	PI3K inhibitor	PIK3CB | PIK3CD		
TH-302	Phase 3	DNA alkylating agent			
TH-588	Preclinical	MTH1 inhibitor	NUDT1		
thaliblastine	Phase 2	DNA inhibitor			
thalidomide	Launched	tumor necrosis factor production inhibitor	CRBN | CYP1A2 | CYP2B6 | CYP2C19 | CYP3A5 | TNF	oncology	myeloma
theaflavin	Preclinical	antiviral	CYP19A1 | FASN | LIPC | LIPE | LIPG		
theobromine	Launched	phosphodiesterase inhibitor	ADORA1 | ADORA2A | PDE4B		
thiamet-g	Preclinical	GLCNAC phosphotransferase inhibitor	MGEA5		
thiamine	Launched	vitamin B	SLC19A2 | SLC19A3 | TPK1	metabolism	thiamine deficiency
thiamine-pyrophosphate	Launched			hematology	anemia
thiamphenicol	Launched	bacterial 50S ribosomal subunit inhibitor		infectious disease	pelvic inflammatory disease
thiamylal	Launched	glutamate receptor antagonist	GABRA1	neurology/psychiatry	sedative
thiazovivin	Preclinical	rho associated kinase inhibitor			
thiethylperazine	Launched	dopamine receptor antagonist	DRD1 | DRD2 | DRD4	gastroenterology	nausea
thiocolchicoside	Launched	GABA receptor antagonist	GABRA1 | GABRB2 | GABRG2 | GLRA1 | GLRB	neurology/psychiatry	muscle relaxant
thioctic-acid	Launched	reducing agent	ACHE | ALDH2 | PTGS2	nephrology	diabetic nephropathy
thiodiglycol	Preclinical				
thioguanine	Launched	purine antagonist	IMPDH1 | IMPDH2	hematologic malignancy	acute myeloid leukemia (AML)
thiomersal	Launched	other antibiotic	OXCT1	infectious disease	preservative
thiopental	Launched	GABA receptor antagonist	FAAH	neurology/psychiatry	anesthetic
thioperamide	Preclinical	histamine receptor antagonist	HRH3 | HRH4		
thiophanate	Preclinical				
thioproperazine	Launched	dopamine receptor antagonist	ADRA1A | ADRA1B | DRD1 | DRD2 | HTR1A | HTR2A	neurology/psychiatry	schizophrenia
thioridazine	Launched	dopamine receptor antagonist	CHRNA7 | DRD1 | DRD2 | DRD3 | DRD4 | DRD5 | HRH1 | HTR1A | HTR2A | HTR2C | HTR6 | HTR7 | MALT1	Neurology	psychosis
thiorphan	Phase 1	membrane metalloendopeptidase inhibitor	MME		
thiostrepton	Launched	"FOXM1 inhibitor | foxm1 inhibitor, protein synthesis inhibitor | protein synthesis inhibitor"	FOXM1	obstetrics/gynecology	mastitis
thiotepa	Launched	cytochrome P450 inhibitor	CYP2B6 | CYP3A4	oncology | oncology | oncology	bladder cancer | breast cancer | ovarian cancer
thiothixene	Launched	dopamine receptor antagonist	DRD1 | DRD2 | HRH1 | HTR2A	neurology/psychiatry	schizophrenia
thiram	Launched		JAK2	ophthalmology	contact dermatitis
THK5351	Phase 2	PET radiotracer			
thonzonium	Launched	ATPase inhibitor		infectious disease	ear infections
thonzylamine	Launched	antihistamine		neurology/psychiatry	itching
threo-2-methylisocitrate-(DL)	Preclinical	isocitrate lyase substrate			
thymalfasin	Launched	immune response modulator		infectious disease | infectious disease	hepatitis B | hepatitis C
thymol	Launched	GABA receptor positive allosteric modulator	TRPA1	infectious disease | infectious disease	antiseptic | ringworm
thymol-iodide	Preclinical				
thymopentin	Launched	immune response stimulator			
THZ1	Preclinical	CDK inhibitor	CDK7		
THZ1-R	Preclinical	CDK inhibitor	CDK7		
THZ2	Preclinical	CDK inhibitor	CDK7		
tiabendazole	Launched	angiogenesis inhibitor		infectious disease | infectious disease	gastrointestinal roundworms | hookworm
tiagabine	Launched	GABA uptake inhibitor	CYP2C19 | SLC6A1	neurology/psychiatry	seizures
tiamulin	Launched	bacterial 50s ribosomal subunit inhibitor		infectious disease	dysentry
tianeptine	Launched	selective serotonin reuptake enhancer (SSRE)	OPRD1 | OPRK1 | OPRM1 | SLC6A4	gastroenterology | neurology/psychiatry | pulmonary	asthma | depression | irritable bowel syndrome
tianeptine (sodium salt)					
tiapride	Launched	dopamine receptor antagonist	DRD2 | DRD3	neurology/psychiatry | neurology/psychiatry | neurology/psychiatry	abstinence from alcohol | dyskinesia | psychosis
tiaprofenic-acid	Launched	cyclooxygenase inhibitor	PTGS1 | PTGS2	rheumatology	rheumatoid arthritis
tiaramide	Launched	anti-inflammatory agent	ADRB2	pulmonary	asthma
tibolone	Launched	androgen receptor agonist | estrogen receptor agonist | progesterone receptor agonist	AR | ESR1 | PGR | STS	obstetrics/gynecology | Oncology	breast cancer | endometriosis
TIC10	Phase 2	AKT inhibitor | TRAIL modulator	AKT1 | MAPK1		
ticagrelor	Launched	purinergic receptor antagonist	CYP3A5 | P2RY12	cardiology | cardiology | cardiology	"acute coronary syndrome (ACS) | acute coronary syndrome (acs), myocardial infarction | myocardial infarction"
ticarcillin	Launched	lactamase inhibitor		infectious disease	gram-negative bacterial infections
ticlopidine	Launched	purinergic receptor antagonist	CYP2B6 | CYP2C19 | P2RY12	hematology | neurology/psychiatry	stroke | thrombosis
tideglusib	Phase 2	glycogen synthase kinase inhibitor	GSK3B		
tie2-kinase-inhibitor	Preclinical	TIE tyrosine kinase inhibitor	KDR | MAPK14 | TEK		
tienilic-acid	Withdrawn	cytochrome P450 inhibitor | sodium/potassium/chloride transporter inhibitor	CYP2C9 | SLC12A1 | SLC22A12		
tifenazoxide	Phase 1	ATP-sensitive potassium channel agonist	ABCC8 | KCNJ11		
tigecycline	Launched	"bacterial 30S ribosomal subunit inhibitor | bacterial 30s ribosomal subunit inhibitor, bacterial dna inhibitor | bacterial dna inhibitor"		"infectious disease | infectious disease | infectious disease | Infectious disease | infectious disease, Infectious disease"	"gram-negative bacterial infections | intra-abdominal infections | pneumonia | skin infections | skin infections, pneumonia, intra-abdominal infections, gram-negative bacterial infections"
tildipirosin	Launched	bacterial 50s ribosomal subunit inhibitor		infectious disease	respiratory tract infections
tilmicosin	Launched	bacterial 50S ribosomal subunit inhibitor		pulmonary	bovine respiratory disease (BRD)
tilorone	Launched	interferon inducer		gastroenterology | infectious disease | infectious disease | infectious disease | infectious disease | infectious disease | neurology/psychiatry	diarrhea | hepatitis B | hepatitis C | influenza A virus infection | multiple sclerosis | urinary tract infections | virus herpes simplex (HSV)
tiludronate	Launched	bone resorption inhibitor | osteoclast inhibitor	ATP6V1A | MMP2 | PTPN1	orthopedics	navicular syndrome
timofibrate	Phase 2	cholesterol inhibitor | lipase clearing factor inhibitor	LPL		
timolol	Launched	adrenergic receptor antagonist	ADRB1 | ADRB2	ophthalmology | ophthalmology	glaucoma | ocular hypertension
timolol maleate	Launched	adrenergic receptor antagonist	ADRB1 | ADRB2	ophthalmology	"ocular hypertension, glaucoma"
timonacic	Launched	antioxidant			
tinazoline	Launched	adrenergic receptor agonist	ADRA1A | ADRA1B | ADRA1D | ADRB1		
tinidazole	Launched	antiprotozoal agent		infectious disease | infectious disease | infectious disease | obstetrics/gynecology	amebiasis | bacterial vaginosis | giardiasis | trichomoniasis
tinoridine	Launched	anti-inflammatory agent		neurology/psychiatry	pain relief
tioconazole	Launched	sterol demethylase inhibitor		infectious disease	yeast infection
tioguanine	Launched	purine antagonist		hematologic malignancy | hematologic malignancy | hematologic malignancy	acute lymphoblastic leukemia (ALL) | acute myeloid leukemia (AML) | chronic myeloid leukemia (CML)
tiopronin	Launched	chelating agent | reducing agent		urology	kidney stones
tiotidine	Phase 2	histamine receptor antagonist	HRH2		
tiotropium	Launched	acetylcholine receptor antagonist	CHRM1 | CHRM2 | CHRM3	pulmonary | pulmonary | pulmonary	bronchitis | chronic obstructive pulmonary disease (COPD) | emphysema
tioxolone	Preclinical	carbonic anhydrase inhibitor	CA1 | CA2		
tipelukast	Phase 2	leukotriene receptor antagonist	ALOX5 | CYSLTR1 | CYSLTR2 | LTB4R | LTB4R2		
tipepidine	Phase 2	g protein signaling inhibitor	KCNJ3	neurology/psychiatry	attention-deficit/hyperactivity disorder (adhd)
tipifarnib	Phase 3	farnesyltransferase inhibitor	FNTA | FNTB		
tipiracil	Launched	thymidine phosphorylase inhibitor	TYMP	oncology	colorectal cancer
tiplaxtinin	Phase 1	plasminogen activator inhibitor	SERPINE1		
tipranavir	Launched	HIV protease inhibitor		infectious disease	human immunodeficiency virus (HIV-1)
tiprenolol	Phase 2	adrenergic receptor antagonist	ADRB1 | ADRB2 | ADRB3		
tiquizium	Launched	acetylcholine receptor antagonist		neurology/psychiatry	spasms
tirabrutinib	Launched	bruton's tyrosine kinase (btk) inhibitor	BTK	hematologic malignancy	small lymphocytic lymphoma (sll)
tiracizine	Withdrawn	sodium channel blocker	SCN5A		
tirapazamine	Phase 3	DNA inhibitor			
tirasemtiv	Phase 2	troponin activator			
tiratricol	Launched	thyroid hormone stimulant	THRA | THRB	endocrinology	Refetoff syndrome
tirbanibulin	Launched	protein tyrosine kinase inhibitor	SRC | TUBB	dermatology	actinic keratosis (ak)
tirofiban	Launched	platelet aggregation inhibitor | structural glycoprotein antagonist	ITGA2B | ITGB3	cardiology | cardiology	myocardial infarction | refactory angina
titanocene-dichloride	Phase 2	apoptosis stimulant			
tivantinib	Phase 3	tyrosine kinase inhibitor	MET		
tivozanib	Launched	VEGFR inhibitor	FLT1 | FLT4 | KDR | KIT | PDGFRA | PDGFRB	oncology	renal cell carcinoma (RCC)
tizanidine	Launched	adrenergic receptor agonist	ADRA2A | ADRA2B | ADRA2C | CYP1A2 | NISCH	neurology/psychiatry	spasms
tk216	Phase 1	binding of rna helicase a to the transcription factor ews-fli1 inhibitor	EWSR1 | FLI1	oncology	ewing's sarcoma
TMC-353121	Phase 2	RSV fusion inhibitor			
TMC647055	Phase 2	RNA polymerase inhibitor			
TMN-355	Preclinical	cyclophilin inhibitor	PPIA		
TMPH	Preclinical				
TMS	Preclinical				
tno155	Phase 1/Phase 2	tyrosine phosphatase inhibitor	PTPN11	oncology	colorectal cancer
TNP-470	Phase 2	methionine aminopeptidase inhibitor	METAP2		
tobramycin	Launched	bacterial 30S ribosomal subunit inhibitor		infectious disease | infectious disease | infectious disease | infectious disease | infectious disease	bacterial septicemia | meningitis | respiratory tract infections | skin infections | urinary tract infections
tocainide	Launched	sodium channel blocker	SCN5A	cardiology	cardiac arrythmia
tocainide hydrochloride	Launched	sodium channel blocker	SCN5A	cardiology	cardiac arrythmia
toceranib	Launched	protein tyrosine kinase inhibitor	FGF2 | FLT1 | FLT3 | KDR | PDGFRA | PDGFRB	oncology	cutaneous mast cell tumors
tocofersolan	Launched	antioxidant		cardiology	cerebral cholesterosis
todralazine	Launched	antihypertensive agent		cardiology	hypertension
tofacitinib	Launched	JAK inhibitor	CYP2C19 | JAK1 | JAK2 | JAK3	rheumatology	rheumatoid arthritis
tofisopam	Launched	cytochrome P450 inhibitor | phosphodiesterase inhibitor	CYP3A4 | GABRA1 | GABRA2 | GABRA3 | GABRA5	neurology/psychiatry | neurology/psychiatry	abstinence from alcohol | anxiety
tofogliflozin	Launched	sodium/glucose cotransporter inhibitor	GCK | SLC5A2	endocrinology	diabetes mellitus
tolamolol	Phase 3	adrenergic receptor antagonist	ADRB1 | ADRB2 | ADRB3		
tolazamide	Launched	ATP channel blocker	ABCC8 | KCNJ1 | KCNJ10 | KCNJ11	endocrinology	diabetes mellitus
tolazoline	Launched	adrenergic receptor antagonist	ADRA1A | ADRA2A | ADRA2B | ADRA2C | HRH1 | HRH2	neurology/psychiatry	reverse sedative
tolbutamide	Launched	ATP channel blocker	ABCC8 | CYP2B6 | CYP2C19 | CYP2C8 | KCNJ1 | KCNJ11 | KCNJ8	endocrinology	diabetes mellitus
tolcapone	Withdrawn	catechol O methyltransferase inhibitor	COMT | TTR		
tolebrutinib	Phase 3	bruton's tyrosine kinase (btk) inhibitor	BTK	neurology/psychiatry	multiple sclerosis
tolfenamic-acid	Launched	cyclooxygenase inhibitor | prostanoid receptor antagonist		neurology/psychiatry	migraine headache
tolimidone	Phase 2	SRC activator	LYN | SRC		
tolmetin	Launched	cyclooxygenase inhibitor	PTGS1 | PTGS2	rheumatology | rheumatology	osteoarthritis | rheumatoid arthritis
tolnaftate	Launched	fungal squalene epoxidase inhibitor		infectious disease | infectious disease	tinea corporis | tinea pedis
tolonidine	Launched	adrenergic receptor antagonist	ADRA2A		
tolonium	Launched			hematology	methemoglobinemia
toloxatone	Launched	monoamine oxidase inhibitor	MAOA | MAOB	neurology/psychiatry	depression
tolperisone	Launched	voltage-gated sodium channel blocker	CYP2B6 | CYP2C19 | CYP2D6	cardiology | infectious disease | neurology/psychiatry | neurology/psychiatry | rheumatology | rheumatology	ankylosing spondylitis | atherosclerosis | encephalomyelitis | multiple sclerosis | muscle relaxant | Raynaud's disease
tolrestat	Withdrawn	aldose reductase inhibitor	AKR1A1 | AKR1B1 | AKR1B10		
tolterodine	Launched	acetylcholine receptor antagonist	CHRM1 | CHRM2 | CHRM3 | CHRM4 | CHRM5	urology | urology	urinary frequency | urinary incontinence
toltrazuril	Launched	antiprotozoal agent		infectious disease	coccidiosis
tolvaptan	Launched	vasopressin receptor antagonist	AVPR1A | AVPR2	cardiology | endocrinology | gastroenterology	congestive heart failure | hepatic cirrhosis | hyponatremia
tomeglovir	Preclinical	antiviral			
tomelukast	Phase 3	leukotriene receptor antagonist	CYSLTR1		
tomivosertib	Phase 2	MAPK-interacting kinase inhibitor	MKNK1 | MKNK2		
tonabersat	Phase 2	gap junction modulator | nitric oxide production inhibitor			
topilutamide	Preclinical	androgen receptor antagonist	AR		
topiramate	Launched	carbonic anhydrase inhibitor | glutamate receptor antagonist | kainate receptor antagonist	CA1 | CA12 | CA2 | CA4 | CA7 | CYP2C19 | CYP3A4 | GABRA1 | GABRA2 | GABRA3 | GABRA4 | GABRA5 | GABRA6 | GABRB1 | GABRB2 | GABRB3 | GABRD | GABRE | GABRG1 | GABRG2 | GABRG3 | GABRP | GABRQ | GRIA1 | GRIA2 | GRIA3 | GRIA4 | GRIK1 | GRIK2 | GRIK3 | GRIK4 | GRIK5 | SCN10A | SCN11A | SCN1A | SCN2A | SCN3A | SCN4A | SCN5A | SCN7A | SCN8A | SCN9A	neurology/psychiatry | neurology/psychiatry	epilepsy | migraine headache
topiroxostat	Launched	xanthine oxidase inhibitor	XDH	nephrology | rheumatology	gout | hyperuricemia
topotecan	Launched	topoisomerase inhibitor	TOP1 | TOP1MT	oncology | oncology	cervical cancer | small cell lung cancer
torasemide	Launched	electrolyte reabsorption inhibitor | thromboxane receptor antagonist	CYP2C8 | SLC12A1 | SLC12A2	cardiology | cardiology | cardiology	congestive heart failure | edema | hypertension
torcetrapib	Phase 3	cholesteryl ester transfer protein inhibitor	CETP		
torcitabine	Phase 2	DNA polymerase inhibitor	DCK | TK2		
toremifene	Launched	estrogen receptor antagonist | selective estrogen receptor modulator (SERM)	CYP3A5 | ESR1	oncology	breast cancer
torin-1	Preclinical	mTOR inhibitor	MTOR | PIK3CA		
torin-2	Preclinical	mTOR inhibitor	MTOR		
tosedostat	Phase 2	peptidase inhibitor	ANPEP | LAP3 | NPEPPS		
tosufloxacin	Launched	bacterial DNA gyrase inhibitor		infectious disease	gram-negative bacterial infections
toyocamycin	Phase 1	serine/threonine kinase inhibitor	ERN1		
tozadenant	Phase 3	adenosine receptor antagonist	ADORA2A		
tozasertib	Phase 2	Aurora kinase inhibitor | Bcr-Abl kinase inhibitor | FLT3 inhibitor | JAK inhibitor	ABL1 | AURKA | AURKB | AURKC | BCR | DDR2 | FLT3 | JAK2 | LCK		
TP-003	Preclinical	GABA receptor inverse agonist	GABRA1 | GABRA2 | GABRA3 | GABRA5 | GABRB3 | GABRG2		
TP-0903	Phase 1/Phase 2	AXL kinase inhibitor	AURKA | AURKB | AXL		
TP-3654	Phase 1	"1,4,5-trisphosphate inhibitor"	PIM1 | PIM3		
TPCA-1	Preclinical	IKK inhibitor	IKBKB		
tpps4	Phase 1				
TPPS4	Phase 1				
trabectedin	Phase 3	antitumor agent	IL6		
trabodenoson	Phase 3	adenosine receptor agonist	ADORA1		
tracazolate	Phase 2	GABA receptor modulator	GABRA1		
tradipitant	Phase 3	neurokinin receptor antagonist	TAC1 | TACR1		
TRAM-34	Preclinical	potassium channel antagonist	KCNN4		
TRAM-39	Preclinical	calcium-activated potassium channel activator	KCNN4		
tramadol hydrochloride					
trametinib	Launched	MEK inhibitor	CYP2C8 | CYP3A4 | MAP2K1 | MAP2K2	oncology	melanoma
tramiprosate	Phase 3	beta amyloid protein neurotoxicity inhibitor	APP		
trandolapril	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology | cardiology | cardiology	"hypertension | hypertension, myocardial infarction | myocardial infarction"
tranexamic-acid	Launched	antifibrinolytic | plasminogen activator inhibitor	FGA | FGB | FGG | PLAT | PLG	hematology	hemophilia
tranilast	Launched	angiogenesis inhibitor	HPGDS | HRH1 | IDO1 | IFNG | IL10 | IL2 | IL4 | SLC22A12 | TGFB1 | TNF | TRPV2	pulmonary	asthma
"trans-10,cis-12-conjugated-linoleic-acid"	Launched				
trans-2-undecenoic-acid	Preclinical				
"trans-4-[8-(3-fluorophenyl)-1,7-naphthyridin-6-yl]cyclohexanecarboxylic-acid"	Preclinical				
trans-4-hydroxycrotonic-acid	Preclinical	gamma hydroxybutyric acid ligand			
trans-4-methoxycinnamic-acid	Preclinical				
transcrocetinate	Preclinical	glutamate receptor antagonist	GRIN1 | GRIN2A		
tranylcypromine	Launched	monoamine oxidase inhibitor	CYP2A6 | KDM1A | MAOA | MAOB	neurology/psychiatry	depression
tranylcypromine (2-pcpa) hcl					
